"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"TL35",2608,76,0.303,9.24,40.27,0.74,40.8,157.1,5
"TL36",2609,30,0.298,9.39,37.31,0.74,39.1,152.8,5
"TL37",2610,15,0.35,7.51,31.96,0.74,46.5,151.3,4
"TL38",2611,6,0.215,15.8,34.49,0.74,21.8,128.5,5
"TL39",2612,15,0.22,15.32,35.67,0.74,21.2,121.3,6
"TL40",2613,8,0.354,7.27,34.98,0.74,50.8,161.7,5
"TL41",2614,38,0.309,8.49,36.95,0.74,42.8,156.8,4
"TL42",2615,19,0.281,9.45,40.2,0.74,38.1,154.3,4
"TL43",2616,38,0.281,10.57,37.37,0.74,37,157.6,5
"TL44",2617,21,0.283,11.26,36.29,0.74,34.5,151.5,5
"TL45",2618,76,0.38,7.13,34.88,0.74,52.2,159.1,5
"TL46",2619,34,0.359,7.75,34.34,0.74,47.5,155,5
"TL47",2620,7,0.273,11.12,36.71,0.74,33.8,149.2,5
"TL48",2621,23,0.228,13.52,34.89,0.74,25,132.9,5
"TL49",2622,16,0.217,15.31,36.29,0.74,21.4,123.2,6
"TL50",2623,5,0.25,10.28,33.15,0.74,32.4,145,4
"TL51",2624,27,0.254,11.13,31.44,0.74,32.3,148.5,4
"TL52",2625,56,0.282,9.78,37.84,0.74,37.2,152.5,4
"TL53",2626,33,0.291,10.45,35.86,0.74,37.8,157.2,5
"TL54",2627,16,0.283,11.12,35.75,0.74,35.1,153.3,5
"TL55",2628,2,0.271,11.61,37.13,0.74,32.3,147.7,5
"TL56",2629,28,0.295,11.26,37.97,0.74,35.5,151.6,6
"TL57",2630,29,0.248,12.31,38.44,0.74,29.4,143.2,5
"TL58",2631,25,0.221,14.99,36.22,0.74,24.1,136.5,5
"TL59",2632,7,0.211,17.6,35.75,0.74,20.9,130.8,6
"TL60",2633,20,0.281,9.75,33.34,0.74,38.1,156.2,4
"TL61",2634,16,0.261,11.13,30.77,0.74,32.2,145.7,5
"TL62",2635,13,0.283,10.43,31.3,0.74,35.1,147.4,5
"TL63",2636,12,0.298,10.02,31.2,0.74,37.1,148.3,6
"TL64",2637,8,0.317,9.46,34.72,0.74,40.3,152.1,6
"TL65",2638,23,0.319,8.43,34.75,0.74,42.4,152.2,5
"TL66",2639,33,0.342,8.83,25.89,0.74,48.3,172.1,5
"TL67",2640,25,0.284,11.51,40.36,0.74,33,145.2,6
"TL68",2641,6,0.224,16.54,37.57,0.74,24.1,143.8,5
"TL69",2642,10,0.256,12.88,37.14,0.74,29,142.7,5
"TL70",2643,19,0.299,10.75,32.91,0.74,42.6,178.1,6
"TL71",2644,16,0.27,10.04,34.68,0.74,34.9,147.5,4
"TL72",2645,10,0.287,10.3,34.95,0.74,38,157.8,5
"TL73",2646,18,0.307,8.89,33.62,0.74,39.9,149,5
"TL74",2647,46,0.304,9.79,34.92,0.74,37.9,148.5,6
"TL75",2648,31,0.329,9.15,37.22,0.74,41.2,149.3,6
"TL76",2649,45,0.32,10.23,38.63,0.74,38.9,152,6
"TL77",2650,52,0.297,11.6,30.26,0.74,39.8,172.5,6
"TL78",2651,70,0.305,10.36,25.46,0.74,40.1,164.3,5
"TL79",2652,12,0.296,10.53,30.21,0.74,37.7,157.5,5
"TL80",2653,10,0.242,11.36,33.08,0.74,29.9,142.2,4
"TL81",2654,22,0.277,9.97,31.65,0.74,37.7,157.4,4
"TL82",2655,20,0.299,8.69,32.88,0.74,39.4,148,4
"TL83",2656,14,0.307,8.42,30.42,0.74,41.1,149.9,4
"TL84",2657,56,0.343,8.27,36.74,0.74,44.1,149.6,6
"TL85",2658,42,0.345,8.22,38.54,0.74,43.8,147.6,6
"TL86",2659,62,0.321,10.35,34.91,0.74,44.5,173.7,7
"TL87",2660,41,0.308,12.33,37.36,0.74,43.5,189.9,7
"TL88",2661,49,0.301,11.74,31.14,0.74,43.8,191,6
"TL89",2662,45,0.303,10.84,31.43,0.74,42.3,176.4,6
"TL90",2663,12,0.257,11.41,33.74,0.74,32.8,151.2,5
"TL91",2664,12,0.277,9.44,31.05,0.74,35.3,142.8,5
"TL92",2665,38,0.288,9.81,30.14,0.74,41.9,170.5,5
"TL93",2666,70,0.301,9.3,29.84,0.74,42.6,164.2,5
"TL94",2667,68,0.361,7.81,36.81,0.74,46.1,148,7
"TL95",2668,50,0.364,7.52,32.28,0.74,46.1,145.1,6
"TL96",2669,56,0.371,8.15,38.24,0.74,48.8,157.3,7
"TL97",2670,67,0.393,8.1,40.54,0.74,49.4,153.8,8
"TL98",2671,21,0.317,11.16,39.21,0.74,47.4,194.9,6
"TL99",2672,29,0.348,9.19,35.97,0.74,49.3,175,7
"TM00",2673,1,0.262,13.34,33.51,0.74,32.9,161.8,6
"TM01",2674,33,0.265,13.41,37.87,0.74,36.4,181.2,5
"TM02",2675,28,0.297,8.99,30.03,0.74,45.8,175.6,4
"TM03",2676,102,0.301,8.67,29.39,0.74,47.4,177.6,4
"TM04",2677,73,0.387,7.43,37.96,0.74,50.6,152.9,7
