"SPECIES","NAME"
"S203","Byssoloma llimonae"
"S204","Byssoloma marginatum"
"S205","Byssoloma subdiscordans"
"S206","Caeruleum heppii"
"S207","Calicium abietinum"
"S208","Calicium diploellum"
"S209","Calicium glaucellum"
"S210","Calicium hyperelloides"
"S211","Calicium lenticulare"
"S212","Calicium notarisii"
"S213","Calicium parvum"
"S214","Calicium pinastri"
"S215","Calicium salicinum"
"S216","Calicium tigillare"
"S217","Calicium viride"
"S218","Caloplaca ahtii"
"S219","Caloplaca albolutescens"
"S220","Caloplaca alociza"
"S221","Caloplaca alstrupii"
"S222","Caloplaca aractina"
"S223","Caloplaca arenaria"
"S224","Caloplaca arnoldii"
"S225","Caloplaca asserigena"
"S226","Caloplaca atroflava"
"S227","Caloplaca aurantia"
"S228","Caloplaca britannica"
"S229","Caloplaca ceracea"
"S230","Caloplaca cerina"
"S231","Caloplaca cerinella"
"S232","Caloplaca cerinelloides"
"S233","Caloplaca chalybaea"
"S234","Caloplaca chlorina"
"S235","Caloplaca chrysodeta"
"S236","Caloplaca cinnamomea"
"S237","Caloplaca cirrochroa"
"S238","Caloplaca citrina s. lat."
"S239","Caloplaca coralliza"
"S240","Caloplaca crenularia"
"S241","Caloplaca crenulatella"
"S242","Caloplaca dalmatica"
"S243","Caloplaca decipiens"
"S244","Caloplaca dichroa"
"S245","Caloplaca ferruginea s. lat."
"S246","Caloplaca flavescens"
"S247","Caloplaca flavorubescens"
"S248","Caloplaca flavovirescens"
"S249","Caloplaca granulosa"
"S250","Caloplaca haematites"
"S251","Caloplaca herbidella s. lat."
"S252","Caloplaca holocarpa s. lat."
"S253","Caloplaca irrubescens"
"S254","Caloplaca itiana"
"S255","Caloplaca littorea"
"S256","Caloplaca lucifuga"
"S257","Caloplaca luteoalba"
"S258","Caloplaca marina"
"S259","Caloplaca maritima"
"S260","Caloplaca marmorata"
"S261","Caloplaca microthallina"
"S262","Caloplaca nivalis"
"S263","Caloplaca obliterans"
"S264","Caloplaca obscurella"
"S265","Caloplaca ochracea"
"S266","Caloplaca ruderum"
"S267","Caloplaca saxicola"
"S268","Caloplaca scopularis"
"S269","Caloplaca sol"
"S270","Caloplaca sorediella"
"S271","Caloplaca stillicidiorum"
"S272","Caloplaca suaedae"
"S273","Caloplaca teicholyta"
"S274","Caloplaca thallincola"
"S275","Caloplaca ulcerosa"
"S276","Caloplaca variabilis"
"S277","Caloplaca verruculifera"
"S278","Caloplaca virescens"
"S279","Caloplaca vitellinula"
"S280","Caloplaca xantholyta"
"S281","Calvitimela aglaea"
"S282","Calvitimela armeniaca"
"S283","Candelaria concolor"
"S284","Candelaria pacifica"
"S285","Candelariella aurella"
"S286","Candelariella coralliza"
"S287","Candelariella medians"
"S288","Candelariella reflexa"
"S289","Candelariella superdistans"
"S290","Candelariella vitellina"
"S291","Candelariella xanthostigma"
"S292","Candelariella xanthostigmoides"
"S293","Carbonea assimilis"
"S294","Carbonea vorticosa"
"S295","Catapyrenium cinereum"
"S296","Catapyrenium daedaleum"
"S297","Catapyrenium psoromoides"
"S298","Catillaria aphana"
"S299","Catillaria atomarioides"
"S300","Catillaria chalybeia"
"S301","Catillaria contristans"
"S302","Catillaria fungoides"
"S303","Catillaria gilbertii"
"S304","Catillaria lenticularis"
"S305","Catillaria minuta"
"S306","Catillaria nigroclavata"
"S307","Catillaria scotinodes"
"S308","Catillaria subviridis"
"S309","Catinaria atropurpurea"
"S310","Catinaria neuschildii"
"S311","Catolechia wahlenbergii"
"S312","Cavernularia hultenii"
"S313","Celothelium ischnobelum"
"S314","Cetraria aculeata"
"S315","Cetraria ericetorum"
"S316","Cetraria islandica"
"S317","Cetraria muricata"
"S318","Cetraria sepincola"
"S319","Cetrariella commixta"
"S320","Cetrariella delisei"
"S321","Cetrelia olivetorum s. lat."
"S322","Chaenotheca brachypoda"
"S323","Chaenotheca brunneola"
"S324","Chaenotheca chlorella"
"S325","Chaenotheca chrysocephala"
"S326","Chaenotheca ferruginea"
"S327","Chaenotheca furfuracea"
"S328","Chaenotheca gracilenta"
"S329","Chaenotheca hispidula"
"S330","Chaenotheca stemonea"
"S331","Chaenotheca trichialis"
"S332","Chaenotheca xyloxena"
"S333","Chaenothecopsis nigra"
"S334","Chaenothecopsis savonica"
"S335","Chrysothrix candelaris"
"S336","Chrysothrix chlorina"
"S337","Chrysothrix chrysophthalma"
"S338","Chrysothrix flavovirens"
"S339","Cladonia angustiloba"
"S340","Cladonia arbuscula s. lat."
"S341","Cladonia azorica"
"S342","Cladonia bellidiflora"
"S343","Cladonia botrytes"
"S344","Cladonia caespiticia"
"S345","Cladonia callosa"
"S346","Cladonia cariosa"
"S347","Cladonia carneola"
"S348","Cladonia cenotea"
"S349","Cladonia cervicornis"
"S350","Cladonia chlorophaea s. lat."
"S351","Cladonia ciliata"
"S352","Cladonia coccifera s. lat."
"S353","Cladonia coniocraea"
"S354","Cladonia convoluta"
"S355","Cladonia cornuta"
"S356","Cladonia crispata"
"S357","Cladonia cyathomorpha"
"S358","Cladonia deformis"
"S359","Cladonia digitata"
"S360","Cladonia fimbriata"
"S361","Cladonia firma"
"S362","Cladonia floerkeana"
"S363","Cladonia foliacea"
"S364","Cladonia furcata"
"S365","Cladonia glauca"
"S366","Cladonia gracilis"
"S367","Cladonia humilis"
"S368","Cladonia incrassata"
"S369","Cladonia luteoalba"
"S370","Cladonia macilenta s. lat."
"S371","Cladonia macrophylla"
"S372","Cladonia maxima"
"S373","Cladonia mediterranea"
"S374","Cladonia mitis"
"S375","Cladonia norvegica"
"S376","Cladonia ochrochlora"
"S377","Cladonia parasitica"
"S378","Cladonia peziziformis"
"S379","Cladonia phyllophora"
"S380","Cladonia pleurota"
"S381","Cladonia pocillum"
"S382","Cladonia polydactyla"
"S383","Cladonia portentosa"
"S384","Cladonia pulvinata"
"S385","Cladonia pyxidata"
"S386","Cladonia ramulosa"
"S387","Cladonia rangiferina"
"S388","Cladonia rangiformis"
"S389","Cladonia rei"
"S390","Cladonia scabriuscula"
"S391","Cladonia squamosa s. lat."
"S392","Cladonia stellaris"
"S393","Cladonia strepsilis"
"S394","Cladonia subcervicornis"
"S395","Cladonia subulata"
"S396","Cladonia sulphurina"
"S397","Cladonia symphycarpa"
"S398","Cladonia trassii"
"S399","Cladonia uncialis"
"S400","Cladonia verticillata"
"S401","Cladonia zopfii"
"S402","Claurouxia chalybeioides"
"S403","Clauzadea chondrodes"
"S404","Clauzadea immersa"
"S405","Clauzadea metzleri"
"S406","Clauzadea monticola"
"S407","Clauzadeana macula"
"S408","Cliostomum flavidulum"
"S409","Cliostomum griffithii"
"S410","Cliostomum tenerum"
"S411","Coccotrema citrinescens"
"S412","Collema auriforme"
"S413","Collema bachmanianum"
"S414","Collema callopismum"
"S415","Collema ceraniscum"
"S416","Collema crispum"
"S417","Collema cristatum"
"S418","Collema dichotomum"
"S419","Collema flaccidum"
"S420","Collema fragile"
"S421","Collema fragrans"
"S422","Collema furfuraceum"
"S423","Collema fuscovirens"
"S424","Collema glebulentum"
"S425","Collema latzelii"
"S426","Collema limosum"
"S427","Collema multipartitum"
"S428","Collema nigrescens"
"S429","Collema occultatum"
"S430","Collema parvum"
"S431","Collema polycarpon"
"S432","Collema subflaccidum"
"S433","Collema subnigrescens"
"S434","Collema tenax"
"S435","Collema undulatum"
"S436","Collemopsidium angermannicum"
"S437","Collemopsidium caesium"
"S438","Collemopsidium elegans"
"S439","Collemopsidium foveolatum"
"S440","Collemopsidium halodytes"
"S441","Collemopsidium monense"
"S442","Collemopsidium pelvetiae"
"S443","Collemopsidium subarenisedum"
"S444","Collemopsidium sublitorale"
"S445","Coppinsia minutissima"
"S446","Cornicularia normoerica"
"S447","Cornutispora triangularis"
"S448","Cresponea premnea"
"S449","Cresporhaphis wienkampii"
"S450","Crutarndina petractoides"
"S451","Cryptodiscus gloeocapsa"
"S452","Cryptolechia carneolutea"
"S453","Cystocoleus ebeneus"
"S454","Dendrographa decolorans"
"S455","Dendrographa latebrarum"
"S456","Dermatocarpon deminuens"
"S457","Dermatocarpon intestiniforme"
"S458","Dermatocarpon leptophyllodes"
"S459","Dermatocarpon luridum"
"S460","Dermatocarpon meiophyllizum"
"S461","Dermatocarpon miniatum"
"S462","Dibaeis baeomyces"
"S463","Dictyonema coppinsii"
"S464","Dimerella lutea"
"S465","Dimerella pineti"
"S466","Dimerella tavaresiana"
"S467","Diploicia canescens"
"S468","Diploschistes actinostomus"
"S469","Diploschistes caesioplumbeus"
"S470","Diploschistes gypsaceus"
"S471","Diploschistes muscorum"
"S472","Diploschistes scruposus"
"S473","Diplotomma alboatrum"
"S474","Diplotomma chlorophaeum"
"S475","Diplotomma hedinii"
"S476","Diplotomma murorum"
"S477","Diplotomma pharcidium"
"S478","Dirina fallax"
"S479","Dirina massiliensis"
"S480","Echinodiscus lesdainii"
"S481","Eiglera flavida"
"S482","Elixia flexella"
"S483","Endocarpon adscendens"
"S484","Endocarpon pusillum"
"S485","Enterographa brezhonega"
"S486","Enterographa crassa"
"S487","Enterographa elaborata"
"S488","Enterographa hutchinsiae"
"S489","Enterographa pitardii"
"S490","Enterographa sorediata"
"S491","Enterographa zonata"
"S492","Ephebe hispidula"
"S493","Ephebe lanata"
"S494","Epigloea bactrospora"
"S495","Epigloea medioincrassata"
"S496","Epigloea soleiformis"
"S497","Euopsis granatina"
"S498","Euopsis pulvinata"
"S499","Evernia prunastri"
"S500","Farnoldia jurana"
"S501","Felipes leucopellaeus"
"S502","Fellhanera bouteillei"
"S503","Fellhanera ochracea"
"S504","Fellhanera subtilis"
"S505","Fellhanera viridisorediata"
"S506","Fellhaneropsis myrtillicola"
"S507","Fellhaneropsis vezdae"
"S508","Fissurina alboscripta"
"S509","Flavocetraria nivalis"
"S510","Flavoparmelia caperata"
"S511","Flavoparmelia soredians"
"S512","Frutidella caesioatra"
"S513","Fulgensia bracteata"
"S514","Fulgensia fulgens"
"S515","Fulvophyton sorediatum"
"S516","Fuscidea arboricola"
"S517","Fuscidea austera"
"S518","Fuscidea cyathoides"
"S519","Fuscidea gothoburgensis"
"S520","Fuscidea intercincta"
"S521","Fuscidea kochiana"
"S522","Fuscidea lightfootii"
"S523","Fuscidea lygaea"
"S524","Fuscidea mollis"
"S525","Fuscidea oceanica"
"S526","Fuscidea praeruptorum"
"S527","Fuscidea recensa"
"S528","Fuscopannaria ignobilis"
"S529","Fuscopannaria mediterranea"
"S530","Fuscopannaria praetermissa"
"S531","Gabura fascicularis"
"S532","Gomphillus calycioides"
"S533","Graphina pauciloculata"
"S534","Graphis elegans"
"S535","Graphis handelii"
"S536","Graphis inustuloides"
"S537","Graphis ruiziana"
"S538","Graphis scripta"
"S539","Gregorella humida"
"S540","Gyalecta biformis"
"S541","Gyalecta derivata"
"S542","Gyalecta flotowii"
"S543","Gyalecta foveolaris"
"S544","Gyalecta geoica"
"S545","Gyalecta hypoleuca"
"S546","Gyalecta jenensis"
"S547","Gyalecta truncigena"
"S548","Gyalecta ulmi"
"S549","Gyalidea fritzei"
"S550","Gyalidea lecideopsis"
"S551","Gyalidea subscutellaris"
"S552","Gyalideopsis muscicola"
"S553","Haematomma ochroleucum s. lat."
"S554","Halecania alpivaga"
"S555","Halecania micacea"
"S556","Halecania ralfsii"
"S557","Halecania rhypodiza"
"S558","Halecania spodomela"
"S559","Halecania viridescens"
"S560","Henrica melaspora"
"S561","Henrica theleodes"
"S562","Herteliana gagei"
"S563","Hertelidea botryosa"
"S564","Heterodermia leucomelos"
"S565","Heterodermia obscurata"
"S566","Heterodermia propagulifera"
"S567","Hydropunctaria amphibia"
"S568","Hydropunctaria aractina"
"S569","Hydropunctaria maura"
"S570","Hydropunctaria oceanica"
"S571","Hydropunctaria orae"
"S572","Hydropunctaria rheitrophila"
"S573","Hydropunctaria scabra"
"S574","Hymenelia cyanocarpa"
"S575","Hymenelia epulotica"
"S576","Hymenelia heteromorpha"
"S577","Hymenelia melanocarpa"
"S578","Hymenelia prevostii"
"S579","Hyperphyscia adglutinata"
"S580","Hypocenomyce scalaris"
"S581","Hypogymnia farinacea"
"S582","Hypogymnia physodes"
"S583","Hypogymnia tubulosa"
"S584","Hypogymnia vittata"
"S585","Hypotrachyna britannica"
"S586","Hypotrachyna endochlora"
"S587","Hypotrachyna laevigata"
"S588","Hypotrachyna revoluta s. lat."
"S589","Hypotrachyna sinuosa"
"S590","Hypotrachyna taylorensis"
"S591","Icmadophila ericetorum"
"S592","Immersaria athroocarpa"
"S593","Imshaugia aleurites"
"S594","Inoderma subabietinum"
"S595","Ionaspis lacustris"
"S596","Ionaspis odora"
"S597","Ionaspis suaveolens"
"S598","Jamesiella anastomosans"
"S599","Jamesiella scotica"
"S600","Japewia subaurifera"
"S601","Japewia tornoensis"
