"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","change_10yr"
"S1","Absconditella celata",0.00182869433198381,-3.29849354757087,0.00239953901099181,0.762102355330307,0.585432103395727,4.62208203207611,-0.713638036858744,0.605410022589307,-0.265182186234817,0.367408906882592,0.580800000000001,1,1,1779.5,2011.5,-41.0729613733794
"S2","Absconditella delutula",0.00107565789473685,-1.93269462719299,0.00100466543553063,1.07066278653124,0.47828334153657,1.9352242395487,-0.998692858272436,0.500416348188252,0.0681719799942739,0.534085989997137,1.14631880246283,1,1,1779.5,2011.5,-57.7026051258961
"S3","Absconditella lignicola",0.00196406882591094,-3.52521971997303,0.00163241698075023,1.2031661328396,0.441459333097531,3.14442280830553,-1.12110232461795,0.46369221511788,0.182875937362748,0.591437968681374,1.44760874321219,1,1,1779.5,2011.5,-64.8437782067565
"S4","Absconditella pauxilla",0.00235475708502025,-4.24737525303646,0.00308981735661959,0.762102355330307,0.585432103395727,5.95172206870074,-0.713638036858744,0.605410022589307,-0.265182186234817,0.367408906882592,0.580800000000001,1,1,1779.5,2011.5,-41.0729613733832
"S5","Absconditella trivialis",0.00404023279352228,-7.01105444500676,0.00966375074813378,0.418081229413176,0.747901229937606,18.6146791074461,-0.376641166067818,0.770684004195094,-0.702429149797572,0.148785425101214,0.174791914387633,1,1,1779.5,2011.5,22.5321888412004
"S6","Acarospora admissa",0.000701417004048584,-1.21717560728745,0.00167770508384962,0.418081229413176,0.747901229937606,3.23165845092006,-0.376641166067818,0.770684004195094,-0.702429149797572,0.148785425101214,0.174791914387633,1,1,1779.5,2011.5,22.5321888412009
"S7","Acarospora anomala",0.00472899797570852,-8.52989427294201,0.00620520057789206,0.762102355330307,0.585432103395727,11.9526900646839,-0.713638036858744,0.605410022589307,-0.265182186234817,0.367408906882592,0.580800000000002,1,1,1779.5,2011.5,-41.0729613733876
"S8","Acarospora badiofusca",0.000653593117408908,-1.13418636133604,0.00156331610085987,0.418081229413177,0.747901229937606,3.01131810199369,-0.376641166067819,0.770684004195094,-0.702429149797572,0.148785425101214,0.174791914387633,1,1,1779.5,2011.5,22.5321888412061
"S9","Acarospora cervina",0.00103567813765183,-1.84712689777329,0.000223956974359235,4.6244513733721,0.135576364191087,0.431394322993769,-4.28175986404894,0.146063679942992,0.910656653291524,0.955328326645762,21.3855505046831,1,1,1779.5,2011.5,-249.231499290523
"S10","Acarospora durietzii",0.000524291497975709,-0.909808029689611,0.00125404218388759,0.418081229413176,0.747901229937606,2.41558308452611,-0.376641166067819,0.770684004195094,-0.702429149797572,0.148785425101214,0.174791914387633,1,1,1779.5,2011.5,22.5321888412031
"S11","Acarospora fuscata",-0.00148785425101215,3.63222098515521,0.000410514740997685,-3.62436254395197,0.171386051346057,0.790748889505865,4.59339372253177,0.136465311570869,0.858517299427608,0.929258649713804,13.136003850002,1,1,1779.5,2011.5,-1.50466399070056
"S12","Acarospora glaucocarpa",0.000953441295546562,-1.68594433198381,0.000579395538361859,1.6455792846494,0.347628653955568,1.11605341486842,-1.51063050345361,0.372261922815909,0.460615663615157,0.730307831807578,2.70793118206723,1,1,1779.5,2011.5,88.6873186029633
"S13","Acarospora impressula",0.0012042004048583,-2.11461281207828,0.000880196197334896,1.36810452999507,0.401827774261268,1.69546692500813,-1.24721560821255,0.430246111505738,0.303550847222521,0.651775423611261,1.87171000499302,1,1,1779.5,2011.5,42.4258825622306
"S14","Acarospora macrospora subsp. macrospora",0.000883856275303645,-1.53376421221323,0.0021140778708105,0.418081229413176,0.747901229937606,4.07221607830584,-0.376641166067818,0.770684004195094,-0.702429149797572,0.148785425101214,0.174791914387633,1,1,1779.5,2011.5,22.532188841203
"S15","Acarospora moenium",0.000879554655870449,-1.58649004723348,0.00115411617575862,0.762102355330307,0.585432103395727,2.22310186017664,-0.713638036858744,0.605410022589307,-0.265182186234817,0.367408906882592,0.580800000000001,1,1,1779.5,2011.5,-41.072961373381
"S16","Acarospora nitrophila",0.000973178137651825,-1.74057481443995,0.000476547717129697,2.04214206189758,0.289890611329629,0.91794408454382,-1.89616649178032,0.308958456355189,0.613178557894796,0.806589278947398,4.17034420097131,1,1,1779.5,2011.5,-110.059785855088
"S17","Acarospora sinopica",0.00135349190283401,-2.40510834176789,0.000185681222707495,7.28933105404082,0.0867940410546365,0.357666134719559,-6.7244508447905,0.0939836052211544,0.963054879150165,0.981527439575083,53.1343472154038,1,1,1779.5,2011.5,392.853283718232
"S18","Acarospora umbilicata",0.000820091093117412,-1.46444521761134,0.000275673066285634,2.9748683981615,0.206444842976393,0.531011798753583,-2.75783931929339,0.221453129388829,0.796951057411323,0.898475528705661,8.84984198637994,1,1,1779.5,2011.5,-160.328404648072
"S19","Acarospora veronensis",-0.138689018218624,277.224326543523,0.019257231891136,-7.20191868710174,0.0878342529406685,37.0940022661905,7.47356202100092,0.0846799382892074,0.962169669890684,0.981084834945342,51.8676327756252,1,1,1779.5,2011.5,-4.53849522329343
"S20","Acolium inquinans",-8.83097165991911e-05,0.374197073211877,0.000706348317695306,-0.125022902138892,0.920818796071879,1.36059461948785,0.275024660433194,0.829138168461715,-0.969219666837217,0.0153901665813912,0.0156307260592309,1,1,1779.5,2011.5,-0.405117402791174
