"SPECIES","NAME"
"S1","Absconditella celata"
"S2","Absconditella delutula"
"S3","Absconditella lignicola"
"S4","Absconditella pauxilla"
"S5","Absconditella trivialis"
"S6","Acarospora admissa"
"S7","Acarospora anomala"
"S8","Acarospora badiofusca"
"S9","Acarospora cervina"
"S10","Acarospora durietzii"
"S11","Acarospora fuscata"
"S12","Acarospora glaucocarpa"
"S13","Acarospora impressula"
"S14","Acarospora macrospora subsp. macrospora"
"S15","Acarospora moenium"
"S16","Acarospora nitrophila"
"S17","Acarospora sinopica"
"S18","Acarospora umbilicata"
"S19","Acarospora veronensis"
"S20","Acolium inquinans"
"S21","Acolium sessile"
"S22","Acrocordia cavata"
"S23","Acrocordia conoidea"
"S24","Acrocordia gemmata"
"S25","Acrocordia macrospora"
"S26","Acrocordia salweyi"
"S27","Agonimia allobata"
"S28","Agonimia flabelliformis"
"S29","Agonimia gelatinosa"
"S30","Agonimia globulifera"
"S31","Agonimia octospora"
"S32","Agonimia opuntiella"
"S33","Agonimia tristicula"
"S34","Ainoa mooreana"
"S35","Alectoria nigricans"
"S36","Alectoria ochroleuca"
"S37","Alectoria sarmentosa"
"S38","Allantoparmelia alpicola"
"S39","Amandinea coniops"
"S40","Amandinea pelidna"
"S41","Amandinea punctata"
"S42","Ameliella andreaeicola"
"S43","Amygdalaria consentiens"
"S44","Amygdalaria pelobotryon"
"S45","Anaptychia ciliaris"
"S46","Anaptychia runcinata"
"S47","Anisomeridium biforme"
"S48","Anisomeridium polypori"
"S49","Anisomeridium ranunculosporum"
"S50","Anisomeridium robustum"
"S51","Anisomeridium viridescens"
"S52","Antennulariella lichenisata"
"S53","Aquacidia antricola"
"S54","Aquacidia trachona"
"S55","Aquacidia viridifarinosa"
"S56","Arctomia delicatula"
"S57","Arctoparmelia incurva"
"S58","Arthonia anglica"
"S59","Arthonia anombrophila"
"S60","Arthonia arthonioides"
"S61","Arthonia atlantica"
"S62","Arthonia cinnabarina"
"S63","Arthonia didyma"
"S64","Arthonia elegans sensu auct. brit."
"S65","Arthonia ilicina"
"S66","Arthonia ilicinella"
"S67","Arthonia lapidicola"
"S68","Arthonia ligniaria"
"S69","Arthonia ligniariella"
"S70","Arthonia mediella"
"S71","Arthonia meridionalis"
"S72","Arthonia muscigena"
"S73","Arthonia patellulata"
"S74","Arthonia phaeobaea"
"S75","Arthonia punctiformis"
"S76","Arthonia radiata"
"S77","Arthonia spadicea"
